Description,Technical  Class
"SEAL, SIZE:3/4"", RATING:150",SCH54
"GASKET, SIZE:1"", RATING:150",PTP38
"SEAL, SIZE:1/2""-150/1",SCH54
"NUT FOR BOLTINGS AND DOWELINGS, SIZE:1 1/4""-8UNC",SCH55
"NUT FOR BOLTINGS AND DOWELINGS, SIZE:1 1/4""-8UNC",SCH55
"PIN, TYPE:HEXAGONAL HEAD THREADED",SCH56
PIN FOR BOLTINGS AND DOWELINGS,SCH56
SCREW,SCH72
SCREW,SCH72
"FAN, ENCLOSURE VENTILATION AUXILLARY",SCH39
IMPELLER FOR CAB AUXILIARY FAN,SCH48
"JOINT, EXPANSION(ANTIVIBRATION)",SPI02
SUPPORT FOR VIBRATION DAMPING,STE01
"FAN, GTC ENCLOSURE VENTILATION(AUXILLARY)",SCH39
IMPELLER FOR CAB AUXILIARY FAN,SCH48
"JOINT, EXPANSION(ANTIVIBRATION)",SPI02
SUPPORT FOR VIBRATION DAMPING,STE01
"MOTOR FOR CAB AUXILIARY FAN, TYPE:ELECTRIC",ELD01
"BEARING(FRONT), ELECTRIC MOTOR",MEI99
"BEARING(REAR), ELECTRIC MOTOR",MEI99
"MOTOR FOR CAB AUXILIARY FAN, TYPE:ELECTRIC",ELD01
"BEARING(FRONT), ELECTRIC MOTOR",MEI99
"BEARING(REAR), ELECTRIC MOTOR",MEI99
"NUT, SIZE:M12, STANDARD:UNI 7473",SCH55
"TERMINAL, CABLE, SIZE:M10",SCD41
"SCREW, SIZE:M10X30, STANDARD:UNI5931",SCH72
"WASHER(10), STANDARD:UNI 6592",SCH88
"PLATE, INTERFACE",CTZ99
"SCREW, SIZE:M33X45, STANDARD:UNI 5739",SCH72
"WASHER(33 EL), STANDARD:UNI 1751",SCH88
"SCREW, SIZE:M12X30, STANDARD:UNI 5739",SCH72
"SCREW, SIZE:M10X30, STANDARD:UNI5931",SCH72
"WASHER(EL 12), STANDARD:UNI 1751",SCH88
PLATE,CTZ99
"NUT, SIZE:M10, STANDARD:UNI 7473",SCH55
"WASHER, SIZE:12X36, STANDARD:UNI 6593",SCH88
"SHACKLE, LIFTING",STL06
"SCREW, SIZE:M12X45, STANDARD:UNI 7380",SCH72
"WASHER(EL 12), STANDARD:UNI 1751",SCH88
"NUT, SIZE:M10, STANDARD:UNI 7473",SCH55
"NUT, SIZE:M12, STANDARD:UNI 7473",SCH55
"FLANGE, JOINT",PTP98
"CABLE, EARTH, SIZE:LENGTH 2M",ELA01
"SCREW, SIZE:M12X40, STANDARD:UNI 5739",SCH72
"WASHER(33), STANDARD:UNI 6592",SCH88
"WASHER(10), STANDARD:UNI 6592",SCH88
"SCREW, SIZE:M12X45, STANDARD:UNI 7380",SCH72
"GASKET, SIZE:15X5, LENGTH 5M",SCH31
"SCREW, SIZE:M12X40, STANDARD:UNI 5739",SCH72
"WASHER, SIZE:12X36, STANDARD:UNI 6593",SCH88
"WASHER(12), STANDARD:UNI 6592",SCH88
"SCREW, SIZE:M12X30, STANDARD:UNI 5739",SCH72
"WASHER(12), STANDARD:UNI 6592",SCH88
"FAN, ENCLOSURE VENTILATION MAIN",SCH39
IMPELLER FOR CAB MAIN FAN,SCH48
"JOINT, EXPANSION(ANTIVIBRATION)",SPI02
SUPPORT FOR VIBRATION DAMPING,STE01
"JOINT, EXPANSION(ANTIVIBRATION)",SPI02
SUPPORT FOR VIBRATION DAMPING,STE01
"FAN, GTC ENCLOSURE VENTILATION",SCH39
IMPELLER FOR CAB MAIN FAN,SCH48
"MOTOR FOR CAB MAIN FAN, TYPE:ELECTRIC",ELD01
"BEARING(FRONT), ELECTRIC MOTOR",MEI99
"BEARING(REAR), ELECTRIC MOTOR",MEI99
"MOTOR FOR CAB MAIN FAN, TYPE:ELECTRIC",ELD01
"SCREW, STANDARD:UNI 7380, SIZE:M12X45",SCH72
"SCREW, SIZE:UNI5931, SIZE:M10X30",SCH72
"SCREW, STANDARD:UNI 5739, SIZE:M12X40",SCH72
"SCREW, STANDARD:UNI 5739, SIZE:M12X30",SCH72
"TERMINAL, CABLE, SIZE:M10",SCD41
"WASHER, SIZE:UNI 6592, SIZE:DIA 12",SCH88
"NUT, STANDARD:UNI 7473, SIZE:M10",SCH55
"WASHER(EL), STANDARD:UNI 1751, SIZE:33",SCH88
PLATE,CTZ99
"WASHER, STANDARD:UNI 6593, SIZE:DIA 12X36",SCH88
"FLANGE, JOINT",PTP98
"PLATE, INTERFACE",CTZ99
"NUT, STANDARD:UNI 7473, SIZE:M10",SCH55
"WASHER(EL), STANDARD:UNI 1751, SIZE:DIA 12",SCH88
"SCREW, STANDARD:UNI 5739, SIZE:M12X40",SCH72
"WASHER(EL), STANDARD:UNI 1751, SIZE:DIA 12",SCH88
"WASHER, STANDARD:UNI 6592, SIZE:DIA 33",SCH88
"SHACKLE, LIFTING",STL06
"GASKET, SIZE:15X5, LENGTH 5M",SCH31
"NUT, STANDARD:UNI 7473, SIZE:M12",SCH55
"SCREW, STANDARD:UNI5739, SIZE:M12X30",SCH72
"NUT, STANDARD:UNI 7473, SIZE:M12",SCH55
"WASHER, STANDARD:UNI 6592, SIZE:DIA 12",SCH88
"WASHER, STANDARD:UNI 6592, SIZE:DIA 10",SCH88
"CABLE, EARTH, SIZE:LENGTH 2M",ELA01
"WASHER, STANDARD:UNI 6592, SIZE:DIA 10",SCH88
"SCREW, STANDARD:UNI 5739, SIZE:M33X45",SCH72
"SCREW, STANDARD:UNI 5931, SIZE:M10X30",SCH72
"SCREW, STANDARD:UNI 7380, SIZE:M12X45",SCH72
"WASHER, STANDARD:UNI 6593, SIZE:DIA 12X36",SCH88
"NOZZLE, WASHING FOR COMPRESSOR WASHING MANIFOLD",SPI21
PLUG FOR CONTROL OIL FILTER,SCH63
"GASKET, COVER FOR CONTROL OIL FILTER",SPI23
"V-CLAMP(TB 4"")",PTP99
THERMORESISTOR FOR ELECTRIC GENERATOR,SCD42
THERMORESISTOR FOR ELECTRIC GENERATOR,SCD42
SCREW FOR ELECTRIC GENERATOR,SCH72
SCREW FOR ELECTRIC GENERATOR,SCH72
SCREW FOR ELECTRIC GENERATOR,SCH72
BEARING FOR ELECTRIC GENERATOR,MEI99
"SEAL, TYPE:RIGID",CTZ08
"SEAL, TYPE:RIGID",CTZ08
BEARING FOR ELECTRIC GENERATOR,MEI99
"SEAL, TYPE:RIGID",CTZ08
"SEAL, TYPE:RIGID",CTZ08
HEATING RESISTANCE,MED09
"ROTOR, COMPLETE EXCITER FOR ELECTRIC GENERATOR",SCH70
RECTIFIER FOR ELECTRIC GENERATOR,ELA01
VARISTOR FOR ELECTRIC GENERATOR,SCD22
DIODE FOR ELECTRIC GENERATOR,SCD09
DIODE FOR ELECTRIC GENERATOR,SCD09
"STATOR, WOUND EXCITER FOR ELECTRIC GENERATOR",SCH26
"STATOR, WOUND EXCITER FOR ELECTRIC GENERATOR",SCH26
PROXIMITOR FOR ELECTRIC GENERATOR,ICN11
"CONVERTER, VIBRATION SENSOR FOR ELECTRIC GENERATOR",ICH10
"SENSOR, SPEED FOR ELECTRIC GENERATOR",SCF29
"CAPACITOR, SURGE FOR ELECTRIC GENERATOR",SCD04
"HEATER, SPACE FOR ELECTRIC GENERATOR",MEB05
"TRANSFORMER, CURRENT FOR ELECTRIC GENERATOR",ELA01
"TRANSFORMER, CURRENT FOR ELECTRIC GENERATOR",ELA01
"SENSOR, LEAKAGE FOR ELECTRIC GENERATOR",SCF29
"SEAL, MECHANICAL FOR ELECTRIC GENERATOR",SCH54
"SEAL, MECHANICAL FOR ELECTRIC GENERATOR",SCH54
"SEAL, MECHANICAL FOR ELECTRIC GENERATOR",SCH54
SEAL FOR ELECTRIC GENERATOR,CTZ08
REDUCER FOR ELECTRIC GENERATOR,MED09
"GAUGE, PRESSURE FOR ELECTRIC GENERATOR",ICG04
MOTOR(JO) WITH HEATER FOR ELECTRIC GENERATOR,ELD01
PUMP(JO) FOR ELECTRIC GENERATOR,MEP99
FILTER(JO) FOR ELECTRIC GENERATOR,SCF09
"VALVE(JO), RELIEF FOR ELECTRIC GENERATOR",VAP99
"TRANSMITTER(JO), PRESSURE FOR ELECTRIC GENERATOR",ICT07
RTD FOR ELECTRIC GENERATOR,ICN10
WASHER(A28) FOR ELECTRIC GENERATOR,SCH88
PLATE FOR ELECTRIC GENERATOR,CTZ99
"PUMP, LUBE OIL FOR EMERGENCY LUBE OIL PUMP",MEP99
"BEARING, RADIAL BALL FOR EMERGENCY LUBE OIL PUMP",MEI99
O-RING FOR EMERGENCY LUBE OIL PUMP,CTZ11
O-RING FOR EMERGENCY LUBE OIL PUMP,CTZ11
O-RING FOR EMERGENCY LUBE OIL PUMP,CTZ11
O-RING FOR EMERGENCY LUBE OIL PUMP,CTZ11
MOTOR FOR EMERGENCY LUBE OIL PUMP,MED03
"PUMP, TYPE:VERTICAL SUBMERGED",MEP99
"MOTOR, DRIVE",MED03
"COUPLING FOR MEMBRANE, TYPE:FLEXIBLE",OLC02
SHAFT,SCH75
"KEY, SHAFT, STANDARD:UNI ISO 6604",SCH51
"SCREW, GRUB, STANDARD:ISO 4027",SCH72
"WASHER, SHAFT LOCK, STANDARD:DIN 5406",SCH88
"NUT, LOCKING, STANDARD:DIN 981",SCH55
"RING, SPACER, STANDARD:DIN 988",SCH26
"CIRCLIP, SHAFT RETAINER, STANDARD:ISO 7435",SCH11
"FLANGE, STANDARD:ASME B16.5, TYPE:WELD NECK, RATING:150 RF",PTP98
"REDUCER, STANDARD:ASME B16.9",MED09
COUPLING BELL(UPPER),MED12
COUPLING BELL(LOWER),MED12
"O-RING, STANDARD:AS 2842",CTZ11
"BUSH, COUPLING",SCH10
"SEAL, HYDRAULIC PISTON, SIZE:50X40X7",SCH54
"SCREW, GRUB, STANDARD:ISO 4027",SCH72
"O-RING, SIZE: 31.47-1.78 (2125)",CTZ11
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"RETAINER, BEARING(UPPER)",SCH17
"RETAINER, BEARING(LOWER)",SCH17
"CIRCLIP, HOLE RETAINER, STANDARD:ISO 7434",SCH11
"CIRCLIP, HOLE RETAINER, STANDARD:ISO 7434",SCH11
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"BEARING, SEALED RADIAL BALL",MEI99
"BEARING, SEALED RADIAL BALL",MEI99
"FITTING, OUTLET CONNECTION PIPING, STANDARD:ASME B36.10",SPI29
"GASKET, TYPE:FLAT",SCH31
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"NUT, TYPE:HEX, STANDARD:ISO 5088",SCH55
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"SCREW, TYPE:HEX HEAD, STANDARD:ISO 4017",SCH72
"WASHER, STANDARD:ISO 6592",SCH88
"WASHER, STANDARD:ISO 6592",SCH88
RIVET,SCH10
"FLANGE, STANDARD:ASME B16.5 W.N, RATING:150 R.F",PTP98
"FLANGE, STANDARD:ASME B16.5 W.N, RATING:150 R.F",PTP98
"FLANGE, STANDARD:ASME B16.5 W.N, RATING:150 R.F",PTP98
"RING, ANTI-EXTRUSION",SCH17
"SEAL, MECHANICAL",SCH54
BEARING,MEI99
BEARING,MEI99
BRUSH,SCD10
"HOLDER, BRUSH",SCD11
WASHER FOR EXHAUST DUCT,SCH88
SCREW FOR EXHAUST DUCT,SCH72
WASHER FOR EXHAUST DUCT,SCH88
NUT FOR EXHAUST DUCT,SCH55
WASHER FOR EXHAUST DUCT,SCH88
BOLT FOR EXHAUST DUCT,TSC04
NUT FOR EXHAUST DUCT,SCH55
WASHER FOR EXHAUST DUCT,SCH88
WASHER FOR EXHAUST DUCT,SCH88
CABLE FOR EXHAUST DUCT,CFC01
CABLE FOR EXHAUST DUCT,CFC01
"JOINT, EXPANSION FOR EXHAUST PLENUM, MATERIAL:FABRIC",SPI02
"BOLT, EJ OUTLET FOR EXHAUST PLENUM",TSC04
"BOLT, EJ INLET FOR EXHAUST PLENUM",TSC04
"WASHER, SPRING FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT, SIZE:10.5",SCH88
"CABLE, EARTHING(05 MT) FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",ELA01
"CABLE, EARTHING FOR EXHAUST PLENUM",ELA01
"BOLT, EYE FOR LIFTING, RUD VRS-F STARPOINT",STL05
"CABLE, EARTHING FOR EXHAUST PLENUM",ELA01
TUBE(NPS) FOR EXHAUST PLENUM,PTT99
"NUT FOR EXHAUST PLENUM, SIZE:1/2""-13UNC",SCH55
SCREW FOR EXHAUST PLENUM,SCH72
"JOINT, EXPANSION FOR EXHAUST PLENUM, TYPE:FABRIC",SPI02
"SET, WASHER(A17) + NUT, SIZE:M16.A4 + BOLT, SIZE:M16X60, EJ OUTLET BOLTING FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",SCH88
"SET, WASHER(A17) + NUT, SIZE:M16.A4 + BOLT, SIZE:M16X60, EJ INLET BOLTING FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",SCH88
"BOLT, EARTHING CONNECTION FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT, SIZE:M10X25",TSC04
WASHER(A10) FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT,SCH88
"WASHER(10.5), TYPE:SPRING, EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",SCH88
"CABLE, EARTH(05 MT) FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",ELA01
"CABLE, EARTH FOR EXHAUST PLENUM",ELA01
"BOLT, EYE, LIFTING(RUD)",STL05
"CABLE, EARTH FOR EXHAUST PLENUM",ELA01
BOLT FOR FLANGE INLET SIDE,PTP37
TUBE FOR INLET FLANGE,PTT99
"SET, WASHER(A17) + NUT, SIZE:M16 + BOLT, SIZE:M16X70, FLANGE BOLTING OUTLET SIDE FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",SCH88
"SET, BOLT+GASKET+WASHER FOR FLANGE FOR ROOF",TSC04
"SET, WASHER(A21) + NUT, SIZE:M20 + BOLT, SIZE:M20X70, FLANGE BOLTING TRANSITION DUCT FOR EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT",SCH88
"BOLT FOR EARTHING CONNECTION EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT, SIZE:M10X25",TSC04
WASHER(A10) FOR EARTHING CONNECTION EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT,SCH88
SCREW FOR EXHAUST PLENUM,SCH72
SCREW FOR EXHAUST PLENUM,SCH72
SCREW FOR EXHAUST PLENUM,SCH72
NUT FOR EXHAUST PLENUM,SCH55
NUT FOR EXHAUST PLENUM,SCH55
"RING(ASSEMBLY), PISTON",SCH60
GASKET FOR INLET SIDE,SCH31
BOLT FOR FLANGE INLET SIDE,PTP37
GASKET FOR OUTLET SIDE IU EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT,SCH31
"BOLT, FLANGE FOR OUTLET SIDE EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT, SIZE:M16X70",TSC04
GASKET FOR ROOF OPENING EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT,SCH31
"SET, BOLT+GASKET+WASHER FOR FLANGE FOR ROOF",TSC04
GASKET FOR DUCT OUTLET IU EXHAUST PLENUM EXPANSION JOINT AND SPACER DUCT,SCH31
"SET, BOLT+GASKET+WASHER FOR FLANGE TRANSITION DUCT",TSC04
"SEAL, ROPE FOR EXHAUST",CTZ08
GASKET FOR EXHAUST PLENUM,SCH31
GASKET FOR EXHAUST PLENUM,SCH31
GASKET FOR EXHAUST PLENUM,SCH31
GASKET FOR EXHAUST PLENUM,SCH31
"THERMOCOUPLE, EXHAUST",ICN10
"VALVE, EXHAUST PLENUM DRAIN ON-OFF, LINE SIZE:1"", MATERIAL:AISI 316, TYPE:PNEUMATICALLY SELF REGULATING VALVE",SCJ05
"KIT, SPARES FOR FALSE START DRAIN/WASHING CO.AUXLLIARY VALVE",SCQ98
"SWITCH, SENSOR FOR FALSE START DRAIN/WASHING CO.AUXLLIARY VALVE",SCD24
"TRANSMITTER, PRESSURE DIFFERENTIAL",ICT07
"ELEMENT, FILTER, TYPE:HIGH EFFICIENCY E12 EN1822, SIZE:595X595X600, MATERIAL:SYNTHETIC MEDIA",CTZ04
"FITTING, LIGHT FOR FILTERS CHAMBER",PTP99
"FITTING, LIGHT FOR FILTERS CHAMBER",PTP99
"SWITCH, PROXIMITY, LONGVALE FOR FILTERS CHAMBER",SCD24
DETECTOR(IR GAS) FOR FILTERS CHAMBER,MEU04
"FILTER, TYPE:M6 BAG, SIZE:610MM DEPTH",SCF09
"GASKET, SIZE:2"", RATING:600",PTP38
"VALVE, CHECK FOR FUEL GAS",VMD99
"ORIFICE, CALIBRATED FOR FUEL GAS PIPING",ICP01
"GASKET FOR FUEL GAS PIPING, TYPE:SPIRAL METAL",PTP38
"GASKET FOR FUEL GAS PIPING, SIZE:2"", RATING:600",PTP38
"GASKET FOR FUEL GAS PIPING, SIZE:1"", RATING:600",PTP38
"BOX, LIMIT SWITCHES FOR FUEL GAS PURGE VALVES",ICQ01
"REGULATOR, FILTER FOR FUEL GAS PURGE VALVES",VAA08
"BOX, LIMIT SWITCHES FOR FUEL GAS PURGE VALVES",ICQ01
"VALVE, LIQUID FUEL PURGE, SIZE:1"", CLASS:800 NPT",VAC99
"ACTUATOR(COMPLETE UNIT), TYPE:PNEUMATIC, SERIES:SBAT",VAA03
"VALVE, SOLENOID, TYPE:3/2 UNIVERSAL, SERIES:ICO3S",ICA04
"VALVE, RELIEF FOR FUEL GAS PURGE VALVES, SERIES:D7/S",VAP99
"VALVE, LIQUID FUEL PURGE, SIZE:1"", CLASS:800 NPT",VAC99
"ACTUATOR(SLOW DOWN UNIT ASSEMBLED)+FLOW REGULATOR, TYPE:PNEUMATIC, SERIES:SBAT+FT 2257",VAA03
"VALVE, SOLENOID, TYPE:3/2 UNIVERSAL, SERIES:ICO3S",ICA04
"VALVE, RELIEF FOR FUEL GAS PURGE VALVES, SERIES:D7/S",VAP99
"REGULATOR, FILTER",VAA08
"PLUG, FILTER ASSEMBLY FOR FUEL GAS SHUT OFF VALVE",SCH63
"VALVE, ON/OFF, FUEL GAS SHUTOFF VALVE",SCJ05
"SET, VALVE, FLOW CONTROL+PROBE, DISPLACEMENT+TRANSMITTER, POSITION+ACTUATOR, MOTORIZED VALVE",VAC99
"SEAL, BODY FOR FUEL GAS SHUT OFF VALVE",SCH37
"VALVE, SOLENOID, TYPE:3-WAY, RATING:24 VDC",ICA04
"O-RING, STEAM FOR FUEL GAS SHUT OFF VALVE",CTZ11
"FILTER, FUEL GAS SHUT OFF VALVE",MEP10
O-RING FOR FILTER ASSEMBLY,CTZ11
O-RING FOR FILTER ASSEMBLY,CTZ11
O-RING FOR FILTER ASSEMBLY,CTZ11
"SIGNAL, DIGITAL(HW) FOR FUEL GAS METERING VALVE DRIVER RUN:RESET:STATUS",TSE22
STEM FOR FUEL GAS VENT WARM-UP VALVE,SCD15
"RING, SEAT FOR FUEL GAS VENT WARM-UP VALVE",SCH23
PIN GROOVE FOR FUEL GAS VENT WARM-UP VALVE,SCH56
"SOLENOID(WSNF8327B202)FOR FUEL GAS VENT WARM-UP VALVE, RATING:24VDC",SCF30
SWITCH FOR FUEL GAS VENT WARM-UP VALVE,SCD24
"CAGE, STANDARD FOR FUEL GAS VENT WARM-UP VALVE",VAE99
"VALVE, FUEL GAS WARMUP, TYPE:82-21114",VAC99
"GASKET, TYPE:SPIRAL WOUND(USE KIT 02100)FOR FUEL GAS VENT WARM-UP VALVE",SPI23
"RING, GASKET, SEAT(21K .75 AND 1.00 SIZ)FOR FUEL GAS VENT WARM-UP VALVE",SCH81
PLUG FOR FUEL GAS VENT WARM-UP VALVE,SCH63
"VALVE, PRESSURE CONTROL FOR FUEL GAS VENT WARM-UP VALVE",VAC99
"GAUGE, PRESSURE FOR FUEL GAS VENT WARM-UP VALVE",ICG04
AIRSET,VMQ99
DIAPHRAGM FOR FUEL GAS VENT WARM-UP VALVE,SCH29
"RING, PACKING FOR FUEL GAS VENT WARM-UP VALVE",SCH72
"PUMP, SCREW, MATERIAL:CAST IRON",MEP99
"TRANSMITTER, TEMPERATURE, MATERIAL:SS316L",ICT10
"MOTOR, ELECTRIC FOR FUEL OIL CONSOLE, RATING:55KW 690V/60HZ, MATERIAL:CAST IRON",ELD01
"VALVE, PRESSIRE SAFETY(PSV)FOR FUEL OIL CONSOLE, RANGE:SET 66 BARG",TSC03
"TRANSMITTER, RELATIVE PRESSURE, MATERIAL:SS316L",ICT07
"GAUGE, PRESSURE, MATERIAL:STAINLESS STEEL(AISI316L)",ICG04
"SET, BEARING",MEI99
"CABLE, WAY, SIZE:50 X 35 MM, MATERIAL:SS316L",CFC01
"PANEL, INSTRUMENTS, MATERIAL:SS316L",ELP02
"BOX, JUNCTION, MATERIAL:SS316L",ELP11
"MANIFOLD, TYPE:2 WAYS, SIZE:1/2""NPT, MATERIAL:SS316L",VAA06
"THERMOELEMENT(ASSEMBLY), MATERIAL:SS316L",ICN10
"VALVE, ROOT GAUGE, SIZE:3/4""BW X 1/2"" NPT-F, MATERIAL:SS316L",VMH99
"VALVE, BALL, TYPE:FLANGE, SIZE:3/4"", RATING:600, MATERIAL:SS316L",VMB99
"VALVE, BALL, TYPE:FLANGE, SIZE:3/4"", RATING:150, MATERIAL:SS316L",VMB99
"VALVE, BALL, TYPE:2 PIECES, SIZE:2"", RATING:600 RFR9 LO, MATERIAL:SS316L",VMB99
"VALVE, BALL, TYPE:2 PIECES, SIZE:2"", RATING:150 RFR9 LO, MATERIAL:SS316L",VMB99
"CABLE, WAY, SIZE:50 X 35 MM, MATERIAL:SS316L",CFC01
"PANEL, INSTRUMENTS, MATERIAL:SS316L",ELP02
"BOX, JUNCTION, MATERIAL:SS316L",ELP11
"MANIFOLD, TYPE:2 WAYS, SIZE:1/2""NPT, MATERIAL:SS316L",VAA06
"THERMOELEMENT(ASSEMBLY), MATERIAL:SS316L",ICN10
"VALVE, ROOT GAUGE, SIZE:3/4""BW X 1/2"" NPT-F, MATERIAL:SS316L",VMH99
"VALVE, BALL, TYPE:FLANGE, SIZE:3/4"", RATING:600, MATERIAL:SS316L",VMB99
"VALVE, BALL, TYPE:FLANGE, SIZE:3/4"", RATING:150, MATERIAL:SS316L",VMB99
"VALVE, BALL, TYPE:2 PIECES, SIZE:2"", RATING:600 RFR9 LO, MATERIAL:SS316L",VMB99
"VALVE, BALL, TYPE:2 PIECES, SIZE:2"", RATING:150 RFR9 LO, MATERIAL:SS316L",VMB99
Y-FILTER,SPI14
"SWITCH, LIMIT(LIQUID FUEL SHUT OFF VALVE)",SCD24
"KIT, SPARE FOR DUPLEX FILTER",SCQ98
"SEAL FOR FUEL-OIL PIPING, SIZE:2"", RATING:150",SCH54
"VALVE, ISOLATION, SIZE:1/2""NPT-F",VMB99
"O-RING, TYPE:OR4150, SIZE:INNER DIA:37.69MM, CROSS SECTION:3.53MM",CTZ11
"VALVE, LIQUID FUEL ORIFICE PACK FOR FLOW CONTROL VALVE",VAC99
"O-RING FOR FUEL-OIL PIPING, TYPE:OR4187, SIZE:47.22X3.53",CTZ11
"VALVE, CHECK, SIZE:1"" NPT(CH)-1 PSI",VMD99
"VALVE, CHECK, SIZE:3/8""-NPT F/M-5 PSI",VMD99
"SEAL, SIZE:2"", RATING:150",SCH54
CLAMP FOR G.G.CONNECTING FLEXIBLE PIPINGS,PTP40
CLAMP FOR G.G.CONNECTING FLEXIBLE PIPINGS,PTP40
"HOSE, TYPE:FLEXIBLE, SIZE:3/4"", LENGTH:1300 MM",SPI38
"CLAMP, HOSE FOR G.G.CONNECTING FLEXIBLE PIPINGS",PTP40
"PIPE FOR G.G.CONNECTING FLEXIBLE PIPINGS, TYPE:FLEXIBLE",SPI29
"HOSE FOR L10, TYPE:FLEXIBLE",SPI38
"HOSE FOR HYDRAULIC STARTER IN/OUT, TYPE:FLEXIBLE",SPI38
"HOSE, TYPE:MENTAL FLEXIBLE",SPI38
"HOSE(S1), WASHING INLET, TYPE:FLEXIBLE",SPI38
"HOSE(L1), SYNTHETIC OIL, TYPE:FLEXIBLE",SPI38
"HOSE(L2), SYNTHETIC OIL, TYPE:FLEXIBLE",SPI38
"HOSE(L3), SYNTHETIC OIL, TYPE:FLEXIBLE",SPI38
"HOSE(L4), SYNTHETIC OIL, TYPE:FLEXIBLE",SPI38
"HOSE(A12), AGB VENT, TYPE:FLEXIBLE",SPI38
"FITTING, PIPING FOR FUEL GAS, TYPE:FLEXIBLE",SPI29
"HOSE(F5), LIQUID FUEL, TYPE:FLEXIBLE",SPI38
"HOSE(F2), LIQUID FUEL, TYPE:FLEXIBLE",SPI38
"HOSE(F6), LIQUID FUEL, TYPE:FLEXIBLE",SPI38
"HOSE(F6), FG/LF PURGE, TYPE:FLEXIBLE",SPI38
"HOSE, FRAME VENT, TYPE:FLEXIBLE, SIZE:2""",SPI38
"FITTING, PIPING, TYPE:FLEXIBLE",SPI29
"NUT, G.G.CONNECTING FLEXIBLE PIPINGS",SCH55
"NUT, G.G.CONNECTING FLEXIBLE PIPINGS",SCH55
"ROD, TIE FOR G.G.CONNECTING FLEXIBLE PIPINGS",MED09
"COLLAR, G.G.CONNECTING FLEXIBLE PIPINGS",SCH81
"CLAMP, G.G.CONNECTING FLEXIBLE PIPINGS",PTP40
"FITTING, PIPE, SIZE:1 1/2""X1 1/2""NPT",SPI29
"CLAMP, COUPLING, SIZE:2""",PTP40
"SCREW, SIZE:7/16""-14UNCX1 3/4""",SCH72
"SCREW, SIZE:M16X50",SCH72
"V-CLAMP, G.G.CONNECTING FLEXIBLE PIPINGS",PTP99
"FITTING, PIPING, TYPE:FLEXIBLE, LINE SIZE:3/4""",SPI29
ENGINE FOR GAS GENERATOR,MED09
"THERMOELEMENT, RESISTANCE TEMPERATURE DETECTOR(RTD), RANGE:MIN -196 °C TO MAX NA",ICN10
"MANIFOLD FOR GAS-FUEL SYSTEM INSTRUMENTS, TYPE:2 WAY",VAA06
"TRANSMITTER, TEMPERATURE INDICATOR, RANGE:-220 TO 50°C SMART(RTD), TYPE:PT100 HART MOD 475 WITH LCD DISPLAY",ICT10
"TRANSMITTER, PRESSURE INDICATOR, RANGE:-1.01 TO 0 BAR G",ICT07
"TRANSMITTER, PRESSURE INDICATOR, RANGE:-1.01 TO 0 BAR G",ICT07
"TRANSMITTER, FAST PRESSURE FOR GAS-FUEL SYSTEM INSTRUMENTS",ICT07
"VALVE, SOLENOID, FUEL GAS INTERVALVE VENT ACTUATION",ICA04
"MANIFOLD FOR GAS-FUEL SYSTEM INSTRUMENTS, TYPE:2 WAY LOCKABLE, SIZE:1/2""",VAA06
"LED FOR GENERATOR CONTROL PANEL, COLOR:RED, RANGE:18-30V",SCD34
"PANEL(ANNUNCIATOR), SIGNALING AND CONTROL(A 24V)",ELP02
"SWITCH WITH FUSE, TYPE:3 POLE DISCONNECT(263880)",SCD24
"BREAKER, CIRCUIT, RATNG:230V AC SUPPLY, TYPE:FAZ SERIES",SCD05
"CONVERTER, RATING:DC/DC, 230V AC/24VDC@20A, TYPE:PRO ECO 480W 24V 20A/WEI.1469510000",ICH10
"RELAY, AUXILIARY, RATING:110VAC, TYPE:5534.8110.0040+9474SMA",SCD40
"VOLTIMETER LINE FOR GENERATOR CONTROL PANEL, RATING:0/15KV, TYPE:AN74P111111",ICH11
"LED FOR GENERATOR CONTROL PANEL, COLOR:WHITE",SCD34
