description,technical_code
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Telephone-Telephone-Telephone-Telephone,TCM01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Weather Monitoring-Weather Monitoring Device-Weather Monitoring Device-Weather Monitoring Device,TCN01
Telecommunication-Wifi-WIFI-WIFI-WIFI,TCW01
Telecommunication-Wifi-WIFI-WIFI-WIFI,TCW01
Telecommunication-Berthing Aids-Berthing Aids Devices-Berthing Aids Devices-Berthing Aids Devices,TCP01
Telecommunication-Berthing Aids-Berthing Aids Devices-Berthing Aids Devices-Berthing Aids Devices,TCP01
Telecommunication-Riser Monitoring system-FO converter-FO converter-FO converter,TCR01
Telecommunication-Riser Monitoring system-Pressurized Unit-Pressurized Unit-Pressurized Unit,TCR02
Telecommunication-Data System-Data-Data-Data,TCQ01
Telecommunication-Power Distribution-Power Distribution-Telecom - Power Distribution-Telecom - Power Distribution,TCS01
Telecommunication-Power Distribution-Power Distribution-Telecom - Power Distribution-Telecom - Power Distribution,TCS01
Telecommunication-Power Distribution-Power Distribution-Telecom - Power Distribution-Telecom - Power Distribution,TCS01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Telecommunication-Package-Telecommunication Package-Telecommunication Package-Telecommunication Package,TCZ01
Cables & Fittings-Cables-Electrical Cables-Electrical Cables-Electrical Cables,CFC01
Cables & Fittings-Cables-Electrical Cables-Electrical Cables-Electrical Cables,CFC01
Cables & Fittings-Cables-Electrical Cables-Electrical Cables-Electrical Cables,CFC01
Cables & Fittings-Cables-Electrical Cables-Electrical Cables-Electrical Cables,CFC01
Cables & Fittings-Cables-Electrical Cables-Electrical Cables-Electrical Cables,CFC01
Cables & Fittings-Cables-Electrical Cables-Electrical Cables-Electrical Cables,CFC01
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Signal Cables-Signal Cables-Signal Cables,CFC02
Cables & Fittings-Cables-Cable Glands-Cable Glands-Cable Glands,CFC03
Electrical-Power Distribution-Junction Boxes (Electrical)-Junction Boxes (Electrical)-Junction Boxes (Electrical),ELP11
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Instruments & Controls-Distribution-Junction Boxes (Signal)-Junction Boxes (Signal)-Junction Boxes (Signal),ICQ01
Electrical-Power Distribution-Socket Outlet (Electrical)-Socket Outlet (Electrical)-Socket Outlet (Electrical),ELP10
Instruments & Controls-Distribution-Socket Outlet (Signal)-Socket Outlet (Signal)-Socket Outlet (Signal),ICQ02
Instruments & Controls-Distribution-Socket Outlet (Signal)-Socket Outlet (Signal)-Socket Outlet (Signal),ICQ02
Instruments & Controls-Distribution-Socket Outlet (Signal)-Socket Outlet (Signal)-Socket Outlet (Signal),ICQ02
Instruments & Controls-Distribution-Socket Outlet (Signal)-Socket Outlet (Signal)-Socket Outlet (Signal),ICQ02
Instruments & Controls-Distribution-Socket Outlet (Signal)-Socket Outlet (Signal)-Socket Outlet (Signal),ICQ02
Instruments & Controls-Distribution-Socket Outlet (Signal)-Socket Outlet (Signal)-Socket Outlet (Signal),ICQ02
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Electrical)-Cable Trays (Electrical)-Cable Trays (Electrical),CFT01
Cables & Fittings-Cable Tray-Cable Trays (Signal)-Cable Trays (Signal)-Cable Trays (Signal),CFT02
Cables & Fittings-Cable Tray-Cable Trays (Signal)-Cable Trays (Signal)-Cable Trays (Signal),CFT02
Cables & Fittings-Cable Tray-Cable Trays (Signal)-Cable Trays (Signal)-Cable Trays (Signal),CFT02
Piping & Tubing-Piping & Fittings-CS Pipes-CS Pipes-CS Pipes,PTP01
Piping & Tubing-Piping & Fittings-CS LT Pipes-CS LT Pipes-CS LT Pipes,PTP02
Piping & Tubing-Piping & Fittings-CS HT Pipes-CS HT Pipes-CS HT Pipes,PTP03
Piping & Tubing-Piping & Fittings-CS Galv. Pipes-CS Galv. Pipes-CS Galv. Pipes,PTP04
Piping & Tubing-Piping & Fittings-SS Pipes-SS Pipes-SS Pipes,PTP05
Piping & Tubing-Piping & Fittings-DSS Pipes-DSS Pipes-DSS Pipes,PTP06
Piping & Tubing-Piping & Fittings-SDSS Pipes-SDSS Pipes-SDSS Pipes,PTP07
Piping & Tubing-Piping & Fittings-CuNi Pipes-CuNi Pipes-CuNi Pipes,PTP08
Piping & Tubing-Piping & Fittings-Inconel Pipes-Inconel Pipes-Inconel Pipes,PTP09
Piping & Tubing-Piping & Fittings-Titanium Pipes-Titanium Pipes-Titanium Pipes,PTP10
Piping & Tubing-Piping & Fittings-GRE Pipes-GRE Pipes-GRE Pipes,PTP11
Piping & Tubing-Piping & Fittings-CS Flanges-CS Flanges-CS Flanges,PTP13
Piping & Tubing-Piping & Fittings-CrMo Pipes-CrMo Pipes-CrMo Pipes,PTP12
Piping & Tubing-Piping & Fittings-CS LT Flanges-CS LT Flanges-CS LT Flanges,PTP14
Piping & Tubing-Piping & Fittings-CS HT Flanges-CS HT Flanges-CS HT Flanges,PTP15
Piping & Tubing-Piping & Fittings-CS Galv. Flanges-CS Galv. Flanges-CS Galv. Flanges,PTP16
Piping & Tubing-Piping & Fittings-SS Flanges-SS Flanges-SS Flanges,PTP17
Piping & Tubing-Piping & Fittings-DSS Flanges-DSS Flanges-DSS Flanges,PTP18
Piping & Tubing-Piping & Fittings-SDSS Flanges-SDSS Flanges-SDSS Flanges,PTP19
Piping & Tubing-Piping & Fittings-CuNi Flanges-CuNi Flanges-CuNi Flanges,PTP20
Piping & Tubing-Piping & Fittings-Inconel Flanges-Inconel Flanges-Inconel Flanges,PTP21
Piping & Tubing-Piping & Fittings-Titanium Flanges-Titanium Flanges-Titanium Flanges,PTP22
Piping & Tubing-Piping & Fittings-GRE Flanges-GRE Flanges-GRE Flanges,PTP23
Piping & Tubing-Piping & Fittings-CS Fittings-CS Fittings-CS Fittings,PTP25
Piping & Tubing-Piping & Fittings-CrMo Flanges-CrMo Flanges-CrMo Flanges,PTP24
Piping & Tubing-Piping & Fittings-CS LT Fittings-CS LT Fittings-CS LT Fittings,PTP26
Piping & Tubing-Piping & Fittings-CS HT Fittings-CS HT Fittings-CS HT Fittings,PTP27
Piping & Tubing-Piping & Fittings-CS Galv. Fittings-CS Galv. Fittings-CS Galv. Fittings,PTP28
Piping & Tubing-Piping & Fittings-SS Fittings-SS Fittings-SS Fittings,PTP29
Piping & Tubing-Piping & Fittings-DSS Fittings-DSS Fittings-DSS Fittings,PTP30
Piping & Tubing-Piping & Fittings-SDSS Fittings-SDSS Fittings-SDSS Fittings,PTP31
Piping & Tubing-Piping & Fittings-CuNi Fittings-CuNi Fittings-CuNi Fittings,PTP32
Piping & Tubing-Piping & Fittings-Inconel Fittings-Inconel Fittings-Inconel Fittings,PTP33
Piping & Tubing-Piping & Fittings-Titanium Fittings-Titanium Fittings-Titanium Fittings,PTP34
Piping & Tubing-Piping & Fittings-GRE Fittings-GRE Fittings-GRE Fittings,PTP35
Piping & Tubing-Piping & Fittings-CrMo Fittings-CrMo Fittings-CrMo Fittings,PTP36
Piping & Tubing-Piping & Fittings-Copper Pipes-Copper Pipes-Copper Pipes,PTP42
Piping & Tubing-Piping & Fittings-CPVC Pipes-CPVC Pipes-CPVC Pipes,PTP43
Piping & Tubing-Piping & Fittings-Copper Flanges-Copper Flanges-Copper Flanges,PTP44
Piping & Tubing-Piping & Fittings-CPVC Flanges-CPVC Flanges-CPVC Flanges,PTP45
Piping & Tubing-Piping & Fittings-Copper Fittings-Copper Fittings-Copper Fittings,PTP46
Piping & Tubing-Piping & Fittings-CPVC Fittings-CPVC Fittings-CPVC Fittings,PTP47
Piping & Tubing-Piping & Fittings-6MoSS Pipes-6MoSS Pipes-6MoSS Pipes,PTP48
Piping & Tubing-Piping & Fittings-6MoSS Flanges-6MoSS Flanges-6MoSS Flanges,PTP49
Piping & Tubing-Piping & Fittings-6MoSS Fittings-6MoSS Fittings-6MoSS Fittings,PTP50
Piping & Tubing-Piping & Fittings-Line Piping - Bolts and Nuts-Pipe Bolts and Nuts-Line Piping - Bolts and Nuts,PTP37
Piping & Tubing-Piping & Fittings-Line Piping - Gaskets-Pipe Gaskets-Line Piping - Gaskets,PTP38
Piping & Tubing-Piping & Fittings-Line Piping - Pipe Bends-Pipe Bends-Line Piping - Pipe Bends,PTP39
"Piping & Tubing-Piping & Fittings-Line Piping - Hubs, Clamps and Seal Rings-Pipe Hubs, Clamps & Seal Rings-Line Piping - Hubs, Clamps and Seal Rings",PTP40
Piping & Tubing-Piping & Fittings-PIPES (Generic) - for migration only-PIPES (Generic) - for migration only-PIPES (Generic) - for migration only,PTP97
Piping & Tubing-Piping & Fittings-PIPE FLANGES (Generic) - for migration only-PIPE FLANGES (Generic) - for migration only-PIPE FLANGES (Generic) - for migration only,PTP98
Piping & Tubing-Piping & Fittings-PIPE FITTINGS & ACCESSORIES (Generic) - for migration only-PIPE FITTINGS & ACCESSORIES (Generic) - for migration only-PIPE FITTINGS & ACCESSORIES (Generic) - for migration only,PTP99
Piping & Tubing-Tubing & Fittings-SS || Low Pressure (<10000 psi)-Tub&Fit SS LP<10000psi-Tubing & Fittings || SS || Low Pressure (<10000 psi),PTT01
Piping & Tubing-Tubing & Fittings-SS || Medium Pressure (≥10000 psi)-Tub&Fit SS MP≥10000psi-Tubing & Fittings || SS || Medium Pressure (≥10000 psi),PTT02
Piping & Tubing-Tubing & Fittings-CRA (excl. SS) || Low Pressure (<10000 psi)-Tub&Fit CRA(excSS)LP<10000psi-Tubing & Fittings || CRA (excl. SS) || Low Pressure (<10000 psi),PTT03
Piping & Tubing-Tubing & Fittings-CRA (excl. SS) || Medium Pressure (≥10000 psi)-Tub&Fit CRA(excSS)MP≥10000psi-Tubing & Fittings || CRA (excl. SS) || Medium Pressure (≥10000 psi),PTT04
Piping & Tubing-Tubing & Fittings-SS || Low Pressure Components (<10000 psi)-Tub&Fit SS LPComp<10000psi-Tubing & Fittings || SS || Low Pressure Components (<10000 psi),PTT05
Piping & Tubing-Tubing & Fittings-SS || Medium Pressure Components (≥10000 psi)-Tub&Fit SS MPComp≥10000psi-Tubing & Fittings || SS || Medium Pressure Components (≥10000 psi),PTT06
Piping & Tubing-Tubing & Fittings-CRA (excl. SS) || Low Pressure Components (<10000 psi)-Tub&Fit CRA(excSS)LPComp<10000psi-Tubing & Fittings || CRA (excl. SS) || Low Pressure Components (<10000 psi),PTT07
Piping & Tubing-Tubing & Fittings-CRA (excl. SS) || Medium Pressure Components (≥10000 psi)-Tub&Fit CRA(excSS)MPComp≥10000psi-Tubing & Fittings || CRA (excl. SS) || Medium Pressure Components (≥10000 psi),PTT08
Piping & Tubing-Tubing & Fittings-Tubing & Fittings || Tubing (Generic) - for migration only-Tubing & Fittings || Tubing & Fittings || Tubing (Generic) - for migration only-Tubing & Fittings || Tubing & Fittings || Tubing (Generic) - for migration only,PTT99
Piping & Tubing-Protection-Line Coating - Corrosion Coating-Line- Corrosion Coating-Line Coating - Corrosion Coating,PTC01
Piping & Tubing-Protection-Line Coating - Intumescent PFP Insulation-Line- Intumescent PFP Insulation-Line Coating - Intumescent PFP Insulation,PTC02
Piping & Tubing-Protection-Line Coating - PFP Insulation-Line- PFP Insulation-Line Coating - PFP Insulation,PTC03
Piping & Tubing-Protection-Line Coating - Thermal & Acoustic Insulation-Line- Thermal & Acoustic Insulation-Line Coating - Thermal & Acoustic Insulation,PTC04
Piping & Tubing-Protection-Line Coating - Personnel Protection-Line- Personnel Protection-Line Coating - Personnel Protection,PTC05
"Valves - Manual-Angle Valves-Valve Angle || CS || 3"" and below || Pressure < 900#-VAN CS <3"" P<900#-Valve Angle || CS || 3"" and below || Pressure < 900#",VMA01
"Valves - Manual-Angle Valves-Valve Angle || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-VAN CS <3"" 900#≤P<2500# & 3000psi-Valve Angle || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VMA02
"Valves - Manual-Angle Valves-Valve Angle || CS || 3"" and below || 2500# & 6000 psi-VAN CS <3"" 2500# & 6000 psi-Valve Angle || CS || 3"" and below || 2500# & 6000 psi",VMA03
"Valves - Manual-Angle Valves-Valve Angle || CS || 3"" and below || API 6A and ≥10000#-VAN CS <3"" API 6A and ≥10000#-Valve Angle || CS || 3"" and below || API 6A and ≥10000#",VMA04
"Valves - Manual-Angle Valves-Valve Angle || CRA || 3"" and below || Pressure < 900#-VAN CRA <3"" P<900#-Valve Angle || CRA || 3"" and below || Pressure < 900#",VMA05
"Valves - Manual-Angle Valves-Valve Angle || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-VAN CRA <3"" 900#≤P<2500# & 3000psi-Valve Angle || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VMA06
"Valves - Manual-Angle Valves-Valve Angle || CRA || 3"" and below || 2500# & 6000 psi-VAN CRA <3"" 2500# & 6000 psi-Valve Angle || CRA || 3"" and below || 2500# & 6000 psi",VMA07
"Valves - Manual-Angle Valves-Valve Angle || CRA || 3"" and below || API 6A and ≥10000#-VAN CRA <3"" API 6A and ≥10000#-Valve Angle || CRA || 3"" and below || API 6A and ≥10000#",VMA08
"Valves - Manual-Angle Valves-Valve Angle || CS || 4"" and above || Pressure < 900#-VAN CS >4"" P<900#-Valve Angle || CS || 4"" and above || Pressure < 900#",VMA09
"Valves - Manual-Angle Valves-Valve Angle || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-VAN CS >4"" 900#≤P<2500# & 3000psi-Valve Angle || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VMA10
"Valves - Manual-Angle Valves-Valve Angle || CS || 4"" and above || 2500# & 6000 psi-VAN CS >4"" 2500# & 6000 psi-Valve Angle || CS || 4"" and above || 2500# & 6000 psi",VMA11
"Valves - Manual-Angle Valves-Valve Angle || CS || 4"" and above || API 6A and ≥10000#-VAN CS >4"" API 6A and ≥10000#-Valve Angle || CS || 4"" and above || API 6A and ≥10000#",VMA12
"Valves - Manual-Angle Valves-Valve Angle || CRA || 4"" and above || Pressure < 900#-VAN CRA >4"" P<900#-Valve Angle || CRA || 4"" and above || Pressure < 900#",VMA13
"Valves - Manual-Angle Valves-Valve Angle || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-VAN CRA >4"" 900#≤P<2500# & 3000psi-Valve Angle || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VMA14
"Valves - Manual-Angle Valves-Valve Angle || CRA || 4"" and above || 2500# & 6000 psi-VAN CRA >4"" 2500# & 6000 psi-Valve Angle || CRA || 4"" and above || 2500# & 6000 psi",VMA15
"Valves - Manual-Angle Valves-Valve Angle || CRA || 4"" and above || API 6A and ≥10000#-VAN CRA >4"" API 6A and ≥10000#-Valve Angle || CRA || 4"" and above || API 6A and ≥10000#",VMA16
Valves - Manual-Angle Valves-Angle Valves (Generic) - for migration only-Angle Valves (Generic) - for migration only-Angle Valves (Generic) - for migration only,VMA99
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || Pressure < 900#-VBA CS <3"" P<900#-Valve Ball || CS || 3"" and below || Pressure < 900#",VMB01
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-VBA CS <3"" 900#≤P<2500# & 3000psi-Valve Ball || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VMB02
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || 2500# & 6000 psi-VBA CS <3"" 2500# & 6000psi-Valve Ball || CS || 3"" and below || 2500# & 6000 psi",VMB03
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || API 6A and ≥10000#-VBA CS <3"" API 6A & ≥10000#-Valve Ball || CS || 3"" and below || API 6A and ≥10000#",VMB04
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || Pressure < 900#-VBA CRA <3"" P<900#-Valve Ball || CRA || 3"" and below || Pressure < 900#",VMB05
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-VBA CRA <3"" 900#≤P<2500# & 3000psi-Valve Ball || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VMB06
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || 2500# & 6000 psi-VBA CRA <3"" 2500# & 6000 psi-Valve Ball || CRA || 3"" and below || 2500# & 6000 psi",VMB07
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || API 6A and ≥10000#-VBA CRA <3"" API 6A & ≥10000#-Valve Ball || CRA || 3"" and below || API 6A and ≥10000#",VMB08
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || Pressure < 900#-VBA CS >4"" P<900#-Valve Ball || CS || 4"" and above || Pressure < 900#",VMB09
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-VBA CS >4"" 900#≤P<2500# & 3000psi-Valve Ball || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VMB10
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || 2500# & 6000 psi-VBA CS >4"" 2500# & 6000psi-Valve Ball || CS || 4"" and above || 2500# & 6000 psi",VMB11
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || API 6A and ≥10000#-VBA CS >4"" API 6A & ≥10000#-Valve Ball || CS || 4"" and above || API 6A and ≥10000#",VMB12
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || Pressure < 900#-VBA CRA >4"" P<900#-Valve Ball || CRA || 4"" and above || Pressure < 900#",VMB13
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-VBA CRA >4"" 900#≤P<2500# & 3000psi-Valve Ball || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VMB14
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || 2500# & 6000 psi-VBA CRA >4"" 2500# & 6000 psi-Valve Ball || CRA || 4"" and above || 2500# & 6000 psi",VMB15
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || API 6A and ≥10000#-VBA CRA >4"" API 6A & ≥10000#-Valve Ball || CRA || 4"" and above || API 6A and ≥10000#",VMB16
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || Pressure < 900#-VBA CS <3"" P<900#-Valve Ball || CS || 3"" and below || Pressure < 900#",VMB01
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-VBA CS <3"" 900#≤P<2500# & 3000psi-Valve Ball || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VMB02
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || 2500# & 6000 psi-VBA CS <3"" 2500# & 6000psi-Valve Ball || CS || 3"" and below || 2500# & 6000 psi",VMB03
"Valves - Manual-Ball Valves-Valve Ball || CS || 3"" and below || API 6A and ≥10000#-VBA CS <3"" API 6A & ≥10000#-Valve Ball || CS || 3"" and below || API 6A and ≥10000#",VMB04
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || Pressure < 900#-VBA CRA <3"" P<900#-Valve Ball || CRA || 3"" and below || Pressure < 900#",VMB05
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-VBA CRA <3"" 900#≤P<2500# & 3000psi-Valve Ball || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VMB06
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || 2500# & 6000 psi-VBA CRA <3"" 2500# & 6000 psi-Valve Ball || CRA || 3"" and below || 2500# & 6000 psi",VMB07
"Valves - Manual-Ball Valves-Valve Ball || CRA || 3"" and below || API 6A and ≥10000#-VBA CRA <3"" API 6A & ≥10000#-Valve Ball || CRA || 3"" and below || API 6A and ≥10000#",VMB08
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || Pressure < 900#-VBA CS >4"" P<900#-Valve Ball || CS || 4"" and above || Pressure < 900#",VMB09
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-VBA CS >4"" 900#≤P<2500# & 3000psi-Valve Ball || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VMB10
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || 2500# & 6000 psi-VBA CS >4"" 2500# & 6000psi-Valve Ball || CS || 4"" and above || 2500# & 6000 psi",VMB11
"Valves - Manual-Ball Valves-Valve Ball || CS || 4"" and above || API 6A and ≥10000#-VBA CS >4"" API 6A & ≥10000#-Valve Ball || CS || 4"" and above || API 6A and ≥10000#",VMB12
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || Pressure < 900#-VBA CRA >4"" P<900#-Valve Ball || CRA || 4"" and above || Pressure < 900#",VMB13
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-VBA CRA >4"" 900#≤P<2500# & 3000psi-Valve Ball || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VMB14
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || 2500# & 6000 psi-VBA CRA >4"" 2500# & 6000 psi-Valve Ball || CRA || 4"" and above || 2500# & 6000 psi",VMB15
"Valves - Manual-Ball Valves-Valve Ball || CRA || 4"" and above || API 6A and ≥10000#-VBA CRA >4"" API 6A & ≥10000#-Valve Ball || CRA || 4"" and above || API 6A and ≥10000#",VMB16
Valves - Manual-Ball Valves-Tubing Ball Valve || SS || Low Pressure (<10000 psi)-Tube VBA SS LP<10000 psi-Tubing Ball Valve || SS || Low Pressure (<10000 psi),VMB17
Valves - Manual-Ball Valves-Tubing Ball Valve || SS || Medium Pressure (≥10000 psi)-Tube VBA SS MP≥10000 psi-Tubing Ball Valve || SS || Medium Pressure (≥10000 psi),VMB18
Valves - Manual-Ball Valves-Tubing Ball Valve || CRA (excl. SS) || Low Pressure (<10000 psi)-Tube VBA SS exc SS LP<10000 psi-Tubing Ball Valve || CRA (excl. SS) || Low Pressure (<10000 psi),VMB19
